i,xi,yi
0,0.0000000000000000,367.0000000000000000
1,0.2000000000000000,378.9339243438079734
2,0.4000000000000000,391.2559101324217750
3,0.6000000000000001,403.9785761558225090
4,0.8000000000000000,417.1149515355578501
5,1.0000000000000000,430.6784890677008661
6,1.2000000000000000,444.6830789996885755
7,1.3999999999999999,459.1430632551487179
8,1.5999999999999999,474.0732501212827401
9,1.7999999999999998,489.4889294138455398
10,1.9999999999999998,505.4058881352526669
11,2.1999999999999997,521.8404266418499446
12,2.3999999999999999,538.8093753369025762
13,2.6000000000000001,556.3301119063986562
14,2.8000000000000003,574.4205791153174232
15,3.0000000000000004,593.0993031825887556
16,3.2000000000000006,612.3854127535595353
17,3.4000000000000008,632.2986584893976669
18,3.6000000000000010,652.8594332934951581
19,3.8000000000000012,674.0887931955821841
20,4.0000000000000009,696.0084789149416338
21,4.2000000000000011,718.6409381248048476
22,4.4000000000000012,742.0093484407302640
23,4.6000000000000014,766.1376411565066746
24,4.8000000000000016,791.0505257518889266
25,5.0000000000000018,816.7735151972638050
26,5.2000000000000020,843.3329520811610109
27,5.4000000000000021,870.7560355873648632
28,5.6000000000000023,899.0708493492553544
29,5.8000000000000025,928.3063902099016786
30,6.0000000000000027,958.4925979173634687
31,6.2000000000000028,989.6603857856081277
32,6.4000000000000030,1021.8416723524454710
33,6.6000000000000032,1055.0694140668986165
34,6.8000000000000034,1089.3776390394878035
35,7.0000000000000036,1124.8014818899875991
36,7.2000000000000037,1161.3772197283478818
37,7.4000000000000039,1199.1423093056234848
38,7.6000000000000041,1238.1354253729600714
39,7.8000000000000043,1278.3965002879176609
40,8.0000000000000036,1319.9667649086941310
41,8.2000000000000028,1362.8887908181256989
42,8.4000000000000021,1407.2065339207074430
43,8.6000000000000014,1452.9653794572795960
44,8.8000000000000007,1500.2121884834798493
45,9.0000000000000000,1548.9953458595573466
46,9.1999999999999993,1599.3648098006981400
47,9.3999999999999986,1651.3721630386012293
48,9.5999999999999979,1705.0706656467027642
49,9.7999999999999972,1760.5153095831444716
50,9.9999999999999964,1817.7628750073433821
51,10.1999999999999957,1876.8719884278352765
52,10.3999999999999950,1937.9031827409423840
53,10.5999999999999943,2000.9189592217464906
54,10.7999999999999936,2065.9838515308565547
55,10.9999999999999929,2133.1644918025140214
56,11.1999999999999922,2202.5296788817208835
57,11.3999999999999915,2274.1504487802662879
58,11.5999999999999908,2348.1001474238105402
59,11.7999999999999901,2424.4545057645195811
60,11.9999999999999893,2503.2917173361765890
61,12.1999999999999886,2584.6925183311932415
62,12.3999999999999879,2668.7402702815229532
63,12.5999999999999872,2755.5210454281536840
64,12.7999999999999865,2845.1237148666014036
65,12.9999999999999858,2937.6400395586774721
66,13.1999999999999851,3033.1647643037304078
67,13.3999999999999844,3131.7957147655965855
68,13.5999999999999837,3233.6338976546285267
69,13.7999999999999829,3338.7836041673895124
70,13.9999999999999822,3447.3525167899515509
71,14.1999999999999815,3559.4518195741679847
72,14.3999999999999808,3675.1963119998567890
73,14.5999999999999801,3794.7045265394986018
74,14.7999999999999794,3918.0988500458424824
75,14.9999999999999787,4045.5056490867368666
76,15.1999999999999780,4177.0553993555349734
77,15.3999999999999773,4312.8828192896053224
78,15.5999999999999766,4453.1270080337781110
79,15.7999999999999758,4597.9315878900270036
80,15.9999999999999751,4747.4448513992492735
81,16.1999999999999744,4901.8199132057870884
82,16.3999999999999737,5061.2148668601994359
83,16.5999999999999730,5225.7929467208696224
84,16.7999999999999723,5395.7226951202492273
85,16.9999999999999716,5571.1781349669327028
86,17.1999999999999709,5752.3389479603192740
87,17.3999999999999702,5939.3906586003695338
88,17.5999999999999694,6132.5248241809058527
89,17.7999999999999687,6331.9392309610129814
90,17.9999999999999680,6537.8380967154507744
91,18.1999999999999673,6750.4322798714938472
92,18.3999999999999666,6969.9394954463868999
93,18.5999999999999659,7196.5845380065411518
94,18.7999999999999652,7430.5995118768096290
95,18.9999999999999645,7672.2240688355959719
96,19.1999999999999638,7921.7056535392111982
97,19.3999999999999631,8179.2997569268218285
98,19.5999999999999623,8445.2701778654918598
99,19.7999999999999616,8719.8892933032711881
100,19.9999999999999609,9003.4383372069842153
